U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrimus2&f=m
18:10:05 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Imports of Crude Oil Thousand Barrels per Day
May 2024,7055
Apr 2024,6578
Mar 2024,6196
Feb 2024,6537
Jan 2024,6627
Dec 2023,6417
Nov 2023,6935
Oct 2023,6135
Sep 2023,6640
Aug 2023,7019
Jul 2023,6287
Jun 2023,6494
May 2023,6470
Apr 2023,6194
Mar 2023,6295
Feb 2023,6596
Jan 2023,6277
Dec 2022,5999
Nov 2022,6253
Oct 2022,6239
Sep 2022,6269
Aug 2022,6333
Jul 2022,6597
Jun 2022,6474
May 2022,6164
Apr 2022,6060
Mar 2022,6417
Feb 2022,6160
Jan 2022,6397
Dec 2021,6429
Nov 2021,6334
Oct 2021,5971
Sep 2021,6525
Aug 2021,6236
Jul 2021,6398
Jun 2021,6607
May 2021,5828
Apr 2021,5819
Mar 2021,5819
Feb 2021,5589
Jan 2021,5787
Dec 2020,5713
Nov 2020,5570
Oct 2020,5293
Sep 2020,5398
Aug 2020,5417
Jul 2020,5906
Jun 2020,6393
May 2020,6087
Apr 2020,5520
Mar 2020,6296
Feb 2020,6519
Jan 2020,6411
Dec 2019,6833
Nov 2019,5818
Oct 2019,6242
Sep 2019,6483
Aug 2019,6944
Jul 2019,6938
Jun 2019,7152
May 2019,7154
Apr 2019,6999
Mar 2019,6783
Feb 2019,6670
Jan 2019,7558
Dec 2018,7097
Nov 2018,7542
Oct 2018,7354
Sep 2018,7593
Aug 2018,7989
Jul 2018,7936
Jun 2018,8487
May 2018,7834
Apr 2018,8254
Mar 2018,7620
Feb 2018,7498
Jan 2018,8018
Dec 2017,7782
Nov 2017,7674
Oct 2017,7681
Sep 2017,7324
Aug 2017,7923
Jul 2017,7915
Jun 2017,8089
May 2017,8487
Apr 2017,8204
Mar 2017,8165
Feb 2017,7877
Jan 2017,8478
Dec 2016,7817
Nov 2016,8023
Oct 2016,7570
Sep 2016,8040
Aug 2016,8016
Jul 2016,8096
Jun 2016,7560
May 2016,7927
Apr 2016,7611
Mar 2016,8012
Feb 2016,7914
Jan 2016,7615
Dec 2015,7902
Nov 2015,7371
Oct 2015,7102
Sep 2015,7228
Aug 2015,7717
Jul 2015,7360
Jun 2015,7321
May 2015,7245
Apr 2015,7208
Mar 2015,7592
Feb 2015,7100
Jan 2015,7171
Dec 2014,7225
Nov 2014,7295
Oct 2014,7148
Sep 2014,7495
Aug 2014,7473
Jul 2014,7630
Jun 2014,7068
May 2014,7167
Apr 2014,7555
Mar 2014,7274
Feb 2014,7199
Jan 2014,7589
Dec 2013,7772
Nov 2013,7408
Oct 2013,7478
Sep 2013,7923
Aug 2013,8099
Jul 2013,8058
Jun 2013,7731
May 2013,7741
Apr 2013,7760
Mar 2013,7497
Feb 2013,7293
Jan 2013,7956
Dec 2012,7604
Nov 2012,8183
Oct 2012,8108
Sep 2012,8381
Aug 2012,8665
Jul 2012,8712
Jun 2012,9193
May 2012,8991
Apr 2012,8636
Mar 2012,8771
Feb 2012,8562
Jan 2012,8527
Dec 2011,8711
Nov 2011,8724
Oct 2011,8907
Sep 2011,8914
Aug 2011,8936
Jul 2011,9276
Jun 2011,9235
May 2011,9059
Apr 2011,8839
Mar 2011,9183
Feb 2011,8184
Jan 2011,9183
Dec 2010,8695
Nov 2010,8699
Oct 2010,8540
Sep 2010,9229
Aug 2010,9543
Jul 2010,9932
Jun 2010,9927
May 2010,9655
Apr 2010,9726
Mar 2010,9341
Feb 2010,8761
Jan 2010,8492
Dec 2009,8170
Nov 2009,8740
Oct 2009,8566
Sep 2009,9254
Aug 2009,8814
Jul 2009,9094
Jun 2009,9135
May 2009,8797
Apr 2009,9374
Mar 2009,9378
Feb 2009,9074
Jan 2009,9779
Dec 2008,9419
Nov 2008,9944
Oct 2008,10086
Sep 2008,8447
Aug 2008,10324
Jul 2008,10132
Jun 2008,10018
May 2008,9664
Apr 2008,9979
Mar 2008,9636
Feb 2008,9636
Jan 2008,10082
Dec 2007,9835
Nov 2007,10004
Oct 2007,9784
Sep 2007,10307
Aug 2007,10316
Jul 2007,9939
Jun 2007,10015
May 2007,10328
Apr 2007,10161
Mar 2007,10380
Feb 2007,9009
Jan 2007,10211
Dec 2006,9555
Nov 2006,9888
Oct 2006,10106
Sep 2006,10710
Aug 2006,10564
Jul 2006,10229
Jun 2006,10712
May 2006,10303
Apr 2006,9859
Mar 2006,9750
Feb 2006,9983
Jan 2006,9766
Dec 2005,9996
Nov 2005,10262
Oct 2005,9444
Sep 2005,9155
Aug 2005,10404
Jul 2005,10377
Jun 2005,10765
May 2005,10432
Apr 2005,10224
Mar 2005,10242
Feb 2005,10219
Jan 2005,9997
Dec 2004,10101
Nov 2004,10238
Oct 2004,10362
Sep 2004,9697
Aug 2004,10460
Jul 2004,10298
Jun 2004,10533
May 2004,10452
Apr 2004,10115
Mar 2004,10088
Feb 2004,9317
Jan 2004,9347
Dec 2003,9684
Nov 2003,9351
Oct 2003,10063
Sep 2003,10287
Aug 2003,10023
Jul 2003,10034
Jun 2003,10038
May 2003,10153
Apr 2003,9928
Mar 2003,9226
Feb 2003,8474
Jan 2003,8633
Dec 2002,8741
Nov 2002,9654
Oct 2002,9532
Sep 2002,8797
Aug 2002,9544
Jul 2002,9184
Jun 2002,9324
May 2002,9323
Apr 2002,9301
Mar 2002,8799
Feb 2002,8753
Jan 2002,8709
Dec 2001,8839
Nov 2001,9320
Oct 2001,9211
Sep 2001,9339
Aug 2001,9383
Jul 2001,9552
Jun 2001,9105
May 2001,9885
Apr 2001,10111
Mar 2001,9603
Feb 2001,8609
Jan 2001,8933
Dec 2000,9229
Nov 2000,8913
Oct 2000,8969
Sep 2000,9484
Aug 2000,9939
Jul 2000,9398
Jun 2000,9533
May 2000,9085
Apr 2000,9341
Mar 2000,8790
Feb 2000,8318
Jan 2000,7829
Dec 1999,8234
Nov 1999,8224
Oct 1999,8613
Sep 1999,8527
Aug 1999,8908
Jul 1999,9391
Jun 1999,8888
May 1999,9098
Apr 1999,9256
Mar 1999,8739
Feb 1999,8468
Jan 1999,8393
Dec 1998,8352
Nov 1998,8940
Oct 1998,8667
Sep 1998,8500
Aug 1998,9177
Jul 1998,9507
Jun 1998,8795
May 1998,8987
Apr 1998,8985
Mar 1998,8124
Feb 1998,8045
Jan 1998,8339
Dec 1997,7653
Nov 1997,8366
Oct 1997,8927
Sep 1997,8840
Aug 1997,8621
Jul 1997,8178
Jun 1997,8759
May 1997,8653
Apr 1997,7987
Mar 1997,7754
Feb 1997,7434
Jan 1997,7492
Dec 1996,7307
Nov 1996,7344
Oct 1996,7701
Sep 1996,7353
Aug 1996,8041
Jul 1996,7800
Jun 1996,7958
May 1996,8029
Apr 1996,7371
Mar 1996,7215
Feb 1996,6612
Jan 1996,7303
Dec 1995,6916
Nov 1995,7302
Oct 1995,7075
Sep 1995,8007
Aug 1995,7437
Jul 1995,7265
Jun 1995,7927
May 1995,7325
Apr 1995,7038
Mar 1995,7391
Feb 1995,6546
Jan 1995,6505
Dec 1994,7193
Nov 1994,7034
Oct 1994,7136
Sep 1994,7868
Aug 1994,7488
Jul 1994,7857
Jun 1994,7358
May 1994,7198
Apr 1994,6955
Mar 1994,6372
Feb 1994,6313
Jan 1994,5945
Dec 1993,6838
Nov 1993,6997
Oct 1993,7181
Sep 1993,6581
Aug 1993,6641
Jul 1993,7289
Jun 1993,7201
May 1993,6809
Apr 1993,6928
Mar 1993,6488
Feb 1993,6156
Jan 1993,6292
Dec 1992,5937
Nov 1992,6121
Oct 1992,6696
Sep 1992,6218
Aug 1992,6457
Jul 1992,6796
Jun 1992,6171
May 1992,6060
Apr 1992,6127
Mar 1992,5321
Feb 1992,5079
Jan 1992,5956
Dec 1991,5565
Nov 1991,5528
Oct 1991,5683
Sep 1991,5812
Aug 1991,6645
Jul 1991,5955
Jun 1991,6334
May 1991,6363
Apr 1991,5529
Mar 1991,5166
Feb 1991,5485
Jan 1991,5296
Dec 1990,4611
Nov 1990,5085
Oct 1990,5132
Sep 1990,5664
Aug 1990,6452
Jul 1990,6855
Jun 1990,6423
May 1990,6454
Apr 1990,5813
Mar 1990,6117
Feb 1990,5895
Jan 1990,6212
Dec 1989,5463
Nov 1989,6171
Oct 1989,6187
Sep 1989,6028
Aug 1989,6565
Jul 1989,6214
Jun 1989,5976
May 1989,5729
Apr 1989,5750
Mar 1989,5035
Feb 1989,5305
Jan 1989,5661
Dec 1988,5230
Nov 1988,5070
Oct 1988,5551
Sep 1988,5212
Aug 1988,5089
Jul 1988,5100
Jun 1988,5322
May 1988,5339
Apr 1988,5167
Mar 1988,4868
Feb 1988,4650
Jan 1988,4662
Dec 1987,4640
Nov 1987,5013
Oct 1987,5142
Sep 1987,5110
Aug 1987,5510
Jul 1987,5295
Jun 1987,4807
May 1987,4340
Apr 1987,4132
Mar 1987,3779
Feb 1987,3866
Jan 1987,4385
Dec 1986,4412
Nov 1986,4615
Oct 1986,4419
Sep 1986,5031
Aug 1986,4859
Jul 1986,4726
Jun 1986,4635
May 1986,4250
Apr 1986,3684
Mar 1986,2988
Feb 1986,2968
Jan 1986,3472
Dec 1985,3696
Nov 1985,3999
Oct 1985,3238
Sep 1985,3155
Aug 1985,3114
Jul 1985,3203
Jun 1985,3188
May 1985,3730
Apr 1985,3401
Mar 1985,2786
Feb 1985,2108
Jan 1985,2717
Dec 1984,3136
Nov 1984,3583
Oct 1984,3751
Sep 1984,3342
Aug 1984,3248
Jul 1984,3646
Jun 1984,3546
May 1984,3942
Apr 1984,3417
Mar 1984,3470
Feb 1984,2950
Jan 1984,3055
Dec 1983,3213
Nov 1983,3337
Oct 1983,3446
Sep 1983,4210
Aug 1983,4227
Jul 1983,3871
Jun 1983,3577
May 1983,3360
Apr 1983,3118
Mar 1983,2290
Feb 1983,2267
Jan 1983,2964
Dec 1982,3000
Nov 1982,3862
Oct 1982,3670
Sep 1982,3636
Aug 1982,3851
Jul 1982,4248
Jun 1982,3836
May 1982,3309
Apr 1982,2849
Mar 1982,2874
Feb 1982,2990
Jan 1982,3693
Dec 1981,4137
Nov 1981,4046
Oct 1981,4380
Sep 1981,4740
Aug 1981,4179
Jul 1981,4296
Jun 1981,4061
May 1981,4287
Apr 1981,4338
Mar 1981,4521
Feb 1981,4873
Jan 1981,4932
Dec 1980,5082
Nov 1980,4680
Oct 1980,4768
Sep 1980,4707
Aug 1980,4803
Jul 1980,4843
Jun 1980,5480
May 1980,5106
Apr 1980,5598
Mar 1980,5695
Feb 1980,6013
Jan 1980,6406
Dec 1979,6318
Nov 1979,6228
Oct 1979,6890
Sep 1979,6426
Aug 1979,6809
Jul 1979,6602
Jun 1979,6647
May 1979,6261
Apr 1979,6211
Mar 1979,6374
Feb 1979,6522
Jan 1979,6925
Dec 1978,6996
Nov 1978,6831
Oct 1978,6595
Sep 1978,7053
Aug 1978,6435
Jul 1978,6329
Jun 1978,6468
May 1978,5727
Apr 1978,5627
Mar 1978,6163
Feb 1978,5764
Jan 1978,6240
Dec 1977,6327
Nov 1977,6321
Oct 1977,6502
Sep 1977,6429
Aug 1977,6395
Jul 1977,7068
Jun 1977,7065
May 1977,6818
Apr 1977,6821
Mar 1977,6699
Feb 1977,6659
Jan 1977,6281
Dec 1976,5925
Nov 1976,5946
Oct 1976,5689
Sep 1976,5875
Aug 1976,5556
Jul 1976,5792
Jun 1976,5628
May 1976,4669
Apr 1976,4790
Mar 1976,4738
Feb 1976,4208
Jan 1976,4594
Dec 1975,4476
Nov 1975,4623
Oct 1975,4389
Sep 1975,4689
Aug 1975,4581
Jul 1975,4192
Jun 1975,3905
May 1975,3486
Apr 1975,3378
Mar 1975,3656
Feb 1975,3828
Jan 1975,4029
Dec 1974,3869
Nov 1974,3958
Oct 1974,3810
Sep 1974,3797
Aug 1974,3924
Jul 1974,4091
Jun 1974,3925
May 1974,3908
Apr 1974,3267
Mar 1974,2462
Feb 1974,2248
Jan 1974,2382
Dec 1973,2891
Nov 1973,3452
Oct 1973,3739
Sep 1973,3471
Aug 1973,3593
Jul 1973,3501
Jun 1973,3220
May 1973,3215
Apr 1973,3049
Mar 1973,3162
Feb 1973,2873
Jan 1973,2732
Dec 1972,2667
Nov 1972,2299
Oct 1972,2516
Sep 1972,2364
Aug 1972,2112
Jul 1972,2182
Jun 1972,2085
May 1972,2160
Apr 1972,2004
Mar 1972,2067
Feb 1972,2081
Jan 1972,2046
Dec 1971,2128
Nov 1971,1985
Oct 1971,1923
Sep 1971,1900
Aug 1971,1895
Jul 1971,1767
Jun 1971,1678
May 1971,1501
Apr 1971,1507
Mar 1971,1395
Feb 1971,1345
Jan 1971,1122
Dec 1970,1538
Nov 1970,1261
Oct 1970,1190
Sep 1970,1344
Aug 1970,1178
Jul 1970,1260
Jun 1970,1373
May 1970,1209
Apr 1970,1171
Mar 1970,1495
Feb 1970,1468
Jan 1970,1413
Dec 1969,1566
Nov 1969,1459
Oct 1969,1453
Sep 1969,1412
Aug 1969,1448
Jul 1969,1394
Jun 1969,1365
May 1969,1424
Apr 1969,1452
Mar 1969,1473
Feb 1969,1305
Jan 1969,1143
Dec 1968,1609
Nov 1968,1359
Oct 1968,1481
Sep 1968,1416
Aug 1968,1395
Jul 1968,1475
Jun 1968,1340
May 1968,1208
Apr 1968,1082
Mar 1968,1145
Feb 1968,971
Jan 1968,985
Dec 1967,1209
Nov 1967,987
Oct 1967,1029
Sep 1967,1049
Aug 1967,1015
Jul 1967,971
Jun 1967,1121
May 1967,1286
Apr 1967,1274
Mar 1967,1212
Feb 1967,1044
Jan 1967,1326
Dec 1966,1032
Nov 1966,1147
Oct 1966,1162
Sep 1966,1200
Aug 1966,1337
Jul 1966,1260
Jun 1966,1299
May 1966,1204
Apr 1966,1217
Mar 1966,1250
Feb 1966,1238
Jan 1966,1353
Dec 1965,899
Nov 1965,1067
Oct 1965,1262
Sep 1965,1438
Aug 1965,1315
Jul 1965,1313
Jun 1965,1330
May 1965,1257
Apr 1965,1270
Mar 1965,1335
Feb 1965,1167
Jan 1965,1205
Dec 1964,1021
Nov 1964,1137
Oct 1964,1265
Sep 1964,1228
Aug 1964,1314
Jul 1964,1414
Jun 1964,1146
May 1964,1160
Apr 1964,1103
Mar 1964,1192
Feb 1964,1111
Jan 1964,1279
Dec 1963,978
Nov 1963,1141
Oct 1963,1012
Sep 1963,1163
Aug 1963,1183
Jul 1963,1233
Jun 1963,1062
May 1963,1112
Apr 1963,1086
Mar 1963,1164
Feb 1963,1104
Jan 1963,1324
Dec 1962,1011
Nov 1962,1109
Oct 1962,1156
Sep 1962,1147
Aug 1962,1300
Jul 1962,1159
Jun 1962,1127
May 1962,1103
Apr 1962,1075
Mar 1962,1025
Feb 1962,1129
Jan 1962,1173
Dec 1961,943
Nov 1961,1004
Oct 1961,1083
Sep 1961,1105
Aug 1961,1098
Jul 1961,1225
Jun 1961,906
May 1961,1083
Apr 1961,899
Mar 1961,1073
Feb 1961,1027
Jan 1961,1087
Dec 1960,925
Nov 1960,999
Oct 1960,1015
Sep 1960,1090
Aug 1960,1057
Jul 1960,1006
Jun 1960,1091
May 1960,986
Apr 1960,1129
Mar 1960,945
Feb 1960,1025
Jan 1960,923
Dec 1959,1028
Nov 1959,981
Oct 1959,979
Sep 1959,983
Aug 1959,966
Jul 1959,887
Jun 1959,1205
May 1959,938
Apr 1959,742
Mar 1959,907
Feb 1959,1052
Jan 1959,925
Dec 1958,1079
Nov 1958,968
Oct 1958,932
Sep 1958,998
Aug 1958,963
Jul 1958,868
Jun 1958,960
May 1958,935
Apr 1958,861
Mar 1958,1012
Feb 1958,830
Jan 1958,1024
Dec 1957,1049
Nov 1957,941
Oct 1957,1055
Sep 1957,1072
Aug 1957,1299
Jul 1957,1217
Jun 1957,1168
May 1957,1070
Apr 1957,924
Mar 1957,849
Feb 1957,790
Jan 1957,815
Dec 1956,873
Nov 1956,871
Oct 1956,1004
Sep 1956,1043
Aug 1956,1001
Jul 1956,1084
Jun 1956,987
May 1956,938
Apr 1956,815
Mar 1956,934
Feb 1956,848
Jan 1956,805
Dec 1955,884
Nov 1955,823
Oct 1955,821
Sep 1955,829
Aug 1955,755
Jul 1955,832
Jun 1955,764
May 1955,742
Apr 1955,697
Mar 1955,742
Feb 1955,751
Jan 1955,739
Dec 1954,729
Nov 1954,636
Oct 1954,642
Sep 1954,672
Aug 1954,664
Jul 1954,724
Jun 1954,624
May 1954,708
Apr 1954,574
Mar 1954,654
Feb 1954,621
Jan 1954,617
Dec 1953,598
Nov 1953,648
Oct 1953,639
Sep 1953,692
Aug 1953,672
Jul 1953,629
Jun 1953,707
May 1953,703
Apr 1953,628
Mar 1953,655
Feb 1953,586
Jan 1953,616
Dec 1952,603
Nov 1952,624
Oct 1952,643
Sep 1952,615
Aug 1952,632
Jul 1952,597
Jun 1952,581
May 1952,545
Apr 1952,539
Mar 1952,510
Feb 1952,491
Jan 1952,488
Dec 1951,423
Nov 1951,425
Oct 1951,421
Sep 1951,500
Aug 1951,529
Jul 1951,546
Jun 1951,563
May 1951,518
Apr 1951,511
Mar 1951,483
Feb 1951,468
Jan 1951,499
Dec 1950,530
Nov 1950,466
Oct 1950,510
Sep 1950,525
Aug 1950,501
