U.S. Net Imports of Crude Oil and Petroleum Products
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mttntus2&f=m
21:27:42 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Net Imports of Crude Oil and Petroleum Products Thousand Barrels per Day
May 2024,-1146
Apr 2024,-1886
Mar 2024,-2663
Feb 2024,-2658
Jan 2024,-1923
Dec 2023,-3085
Nov 2023,-1556
Oct 2023,-2160
Sep 2023,-1485
Aug 2023,-1030
Jul 2023,-1758
Jun 2023,-1192
May 2023,-1100
Apr 2023,-1312
Mar 2023,-3035
Feb 2023,-843
Jan 2023,-964
Dec 2022,-2009
Nov 2022,-1637
Oct 2022,-1430
Sep 2022,-1825
Aug 2022,-1380
Jul 2022,-931
Jun 2022,-1173
May 2022,-1031
Apr 2022,-1418
Mar 2022,-621
Feb 2022,-278
Jan 2022,-513
Dec 2021,-1161
Nov 2021,-710
Oct 2021,-90
Sep 2021,1162
Aug 2021,-153
Jul 2021,368
Jun 2021,-56
May 2021,98
Apr 2021,-441
Mar 2021,431
Feb 2021,357
Jan 2021,-501
Dec 2020,-1186
Nov 2020,-297
Oct 2020,-1013
Sep 2020,-756
Aug 2020,-1100
Jul 2020,-639
Jun 2020,760
May 2020,650
Apr 2020,-1112
Mar 2020,-1162
Feb 2020,-1108
Jan 2020,-649
Dec 2019,-171
Nov 2019,-638
Oct 2019,-440
Sep 2019,40
Aug 2019,949
Jul 2019,1517
Jun 2019,720
May 2019,1655
Apr 2019,1143
Mar 2019,959
Feb 2019,452
Jan 2019,1786
Dec 2018,720
Nov 2018,991
Oct 2018,1457
Sep 2018,2474
Aug 2018,3270
Jul 2018,2231
Jun 2018,2902
May 2018,2510
Apr 2018,2578
Mar 2018,2485
Feb 2018,2679
Jan 2018,3819
Dec 2017,2799
Nov 2017,2732
Oct 2017,2655
Sep 2017,3464
Aug 2017,4447
Jul 2017,3663
Jun 2017,4073
May 2017,4498
Apr 2017,4045
Mar 2017,4130
Feb 2017,3573
Jan 2017,5101
Dec 2016,4219
Nov 2016,4867
Oct 2016,4715
Sep 2016,4760
Aug 2016,5226
Jul 2016,5306
Jun 2016,4617
May 2016,4441
Apr 2016,4627
Mar 2016,4910
Feb 2016,5132
Jan 2016,4730
Dec 2015,4476
Nov 2015,4248
Oct 2015,4225
Sep 2015,4507
Aug 2015,5351
Jul 2015,4611
Jun 2015,4948
May 2015,4649
Apr 2015,4436
Mar 2015,5527
Feb 2015,4632
Jan 2015,4886
Dec 2014,4510
Nov 2014,4656
Oct 2014,4790
Sep 2014,5234
Aug 2014,4861
Jul 2014,5032
Jun 2014,4682
May 2014,5274
Apr 2014,5626
Mar 2014,5263
Feb 2014,5497
Jan 2014,5394
Dec 2013,4938
Nov 2013,5419
Oct 2013,5535
Sep 2013,6405
Aug 2013,6524
Jul 2013,6449
Jun 2013,6288
May 2013,6703
Apr 2013,6933
Mar 2013,6423
Feb 2013,6007
Jan 2013,7208
Dec 2012,6008
Nov 2012,6777
Oct 2012,6793
Sep 2012,7312
Aug 2012,7798
Jul 2012,7556
Jun 2012,8208
May 2012,7910
Apr 2012,7339
Mar 2012,7489
Feb 2012,7496
Jan 2012,8041
Dec 2011,7315
Nov 2011,7998
Oct 2011,7898
Sep 2011,8051
Aug 2011,8159
Jul 2011,8632
Jun 2011,9090
May 2011,9072
Apr 2011,8674
Mar 2011,9022
Feb 2011,8039
Jan 2011,9415
Dec 2010,8488
Nov 2010,8498
Oct 2010,8662
Sep 2010,9478
Aug 2010,9946
Jul 2010,10159
Jun 2010,10140
May 2010,9742
Apr 2010,10093
Mar 2010,9472
Feb 2010,9197
Jan 2010,9404
Dec 2009,8538
Nov 2009,9076
Oct 2009,8655
Sep 2009,9651
Aug 2009,9064
Jul 2009,9482
Jun 2009,9973
May 2009,9461
Apr 2009,10061
Mar 2009,10609
Feb 2009,10287
Jan 2009,11205
Dec 2008,10751
Nov 2008,11160
Oct 2008,11545
Sep 2008,10239
Aug 2008,11064
Jul 2008,11073
Jun 2008,11252
May 2008,11109
Apr 2008,11593
Mar 2008,10791
Feb 2008,10812
Jan 2008,11949
Dec 2007,11327
Nov 2007,11421
Oct 2007,11655
Sep 2007,12285
Aug 2007,12151
Jul 2007,12248
