Week of,Thousand_Barrels
8/23/2024,21592
8/16/2024,20422
8/9/2024,20523
8/2/2024,19974
7/26/2024,20724
7/19/2024,21033
7/12/2024,19430
7/5/2024,20749
6/28/2024,21083
6/21/2024,20689
6/14/2024,21081
6/7/2024,19219
5/31/2024,20510
5/24/2024,19383
5/17/2024,20030
5/10/2024,20056
5/3/2024,20290
4/26/2024,20417
4/19/2024,19535
4/12/2024,19220
4/5/2024,19236
3/29/2024,21292
3/22/2024,19531
3/15/2024,19742
3/8/2024,20803
3/1/2024,20294
2/23/2024,19529
2/16/2024,18918
2/9/2024,19255
2/2/2024,20227
1/26/2024,20119
1/19/2024,19556
1/12/2024,19869
1/5/2024,19605
12/29/2023,19059
12/22/2023,21415
12/15/2023,20785
12/8/2023,21079
12/1/2023,19611
11/24/2023,18917
11/17/2023,20042
11/10/2023,20080
11/3/2023,21722
10/27/2023,19869
10/20/2023,20102
10/13/2023,21897
10/6/2023,19666
9/29/2023,19157
9/22/2023,20141
9/15/2023,20914
9/8/2023,20991
9/1/2023,20203
8/25/2023,21429
8/18/2023,21165
8/11/2023,21663
8/4/2023,20727
7/28/2023,20023
7/21/2023,21276
7/14/2023,20767
7/7/2023,18701
6/30/2023,21235
6/23/2023,20306
6/16/2023,20925
6/9/2023,20408
6/2/2023,19221
5/26/2023,19442
5/19/2023,20701
5/12/2023,19558
5/5/2023,20164
4/28/2023,19805
4/21/2023,20208
4/14/2023,19317
4/7/2023,19055
3/31/2023,20599
3/24/2023,20476
3/17/2023,20026
3/10/2023,19113
3/3/2023,19049
2/24/2023,20413
2/17/2023,20218
2/10/2023,19302
2/3/2023,20536
1/27/2023,20106
1/20/2023,19447
1/13/2023,20314
1/6/2023,17627
12/30/2022,18190
12/23/2022,22822
12/16/2022,20924
12/9/2022,19956
12/2/2022,19626
11/25/2022,19717
11/18/2022,19878
11/11/2022,21087
11/4/2022,21267
10/28/2022,20481
10/21/2022,20587
10/14/2022,20761
10/7/2022,19271
9/30/2022,20831
9/23/2022,20770
9/16/2022,18938
9/9/2022,19313
9/2/2022,19892
8/26/2022,20073
8/19/2022,19339
8/12/2022,21221
8/5/2022,19474
7/29/2022,19948
7/22/2022,19976
7/15/2022,21025
7/8/2022,18720
7/1/2022,20464
6/24/2022,19997
6/17/2022,19904
6/10/2022,19703
6/3/2022,20227
5/27/2022,19512
