"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPBZ","194913","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195013","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195113","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195213","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195313","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195413","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195513","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195613","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195713","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195813","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","195913","Not Available","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196013","1.137","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196113","6.562","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196213","4.605","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196313","5.918","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196413","0.672","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196513","No Data Reported","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196613","No Data Reported","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196713","1.619","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196813","0.18","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","196913","No Data Reported","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197013","2.49","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197113","3.244","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197213","4.863","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197301","11.387","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197302","15.107","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
"PAIMPBZ","197303","14.194","1","Petroleum Imports From Brazil","Thousand Barrels per Day"
