Month,Net_thousands
May-24,-1146
Apr-24,-1886
Mar-24,-2663
Feb-24,-2658
Jan-24,-1923
Dec-23,-3085
Nov-23,-1556
Oct-23,-2160
Sep-23,-1485
Aug-23,-1030
Jul-23,-1758
Jun-23,-1192
May-23,-1100
Apr-23,-1312
Mar-23,-3035
Feb-23,-843
Jan-23,-964
Dec-22,-2009
Nov-22,-1637
Oct-22,-1430
Sep-22,-1825
Aug-22,-1380
Jul-22,-931
Jun-22,-1173
May-22,-1031
Apr-22,-1418
Mar-22,-621
Feb-22,-278
Jan-22,-513
Dec-21,-1161
Nov-21,-710
Oct-21,-90
Sep-21,1162
Aug-21,-153
Jul-21,368
Jun-21,-56
May-21,98
Apr-21,-441
Mar-21,431
Feb-21,357
Jan-21,-501
Dec-20,-1186
Nov-20,-297
Oct-20,-1013
Sep-20,-756
Aug-20,-1100
Jul-20,-639
Jun-20,760
May-20,650
Apr-20,-1112
Mar-20,-1162
Feb-20,-1108
Jan-20,-649
Dec-19,-171
Nov-19,-638
Oct-19,-440
Sep-19,40
Aug-19,949
Jul-19,1517
Jun-19,720
May-19,1655
Apr-19,1143
Mar-19,959
Feb-19,452
Jan-19,1786
Dec-18,720
Nov-18,991
Oct-18,1457
Sep-18,2474
Aug-18,3270
Jul-18,2231
Jun-18,2902
May-18,2510
Apr-18,2578
Mar-18,2485
Feb-18,2679
Jan-18,3819
Dec-17,2799
Nov-17,2732
Oct-17,2655
Sep-17,3464
Aug-17,4447
Jul-17,3663
Jun-17,4073
May-17,4498
Apr-17,4045
Mar-17,4130
Feb-17,3573
Jan-17,5101
Dec-16,4219
Nov-16,4867
Oct-16,4715
Sep-16,4760
Aug-16,5226
Jul-16,5306
Jun-16,4617
May-16,4441
Apr-16,4627
Mar-16,4910
Feb-16,5132
Jan-16,4730
Dec-15,4476
Nov-15,4248
Oct-15,4225
Sep-15,4507
Aug-15,5351
Jul-15,4611
Jun-15,4948
May-15,4649
Apr-15,4436
Mar-15,5527
Feb-15,4632
Jan-15,4886
Dec-14,4510
Nov-14,4656
Oct-14,4790
Sep-14,5234
Aug-14,4861
Jul-14,5032
Jun-14,4682
May-14,5274
Apr-14,5626
Mar-14,5263
Feb-14,5497
Jan-14,5394
Dec-13,4938
Nov-13,5419
Oct-13,5535
Sep-13,6405
Aug-13,6524
Jul-13,6449
Jun-13,6288
May-13,6703
Apr-13,6933
Mar-13,6423
Feb-13,6007
Jan-13,7208
Dec-12,6008
Nov-12,6777
Oct-12,6793
Sep-12,7312
Aug-12,7798
Jul-12,7556
Jun-12,8208
May-12,7910
Apr-12,7339
Mar-12,7489
Feb-12,7496
Jan-12,8041
Dec-11,7315
Nov-11,7998
Oct-11,7898
Sep-11,8051
Aug-11,8159
Jul-11,8632
Jun-11,9090
May-11,9072
Apr-11,8674
Mar-11,9022
Feb-11,8039
Jan-11,9415
Dec-10,8488
Nov-10,8498
Oct-10,8662
Sep-10,9478
Aug-10,9946
Jul-10,10159
Jun-10,10140
May-10,9742
Apr-10,10093
Mar-10,9472
Feb-10,9197
Jan-10,9404
Dec-09,8538
Nov-09,9076
Oct-09,8655
Sep-09,9651
Aug-09,9064
Jul-09,9482
Jun-09,9973
May-09,9461
Apr-09,10061
Mar-09,10609
Feb-09,10287
Jan-09,11205
Dec-08,10751
Nov-08,11160
Oct-08,11545
Sep-08,10239
Aug-08,11064
Jul-08,11073
Jun-08,11252
May-08,11109
Apr-08,11593
Mar-08,10791
Feb-08,10812
Jan-08,11949
Dec-07,11327
Nov-07,11421
Oct-07,11655
Sep-07,12285
Aug-07,12151
Jul-07,12248
Jun-07,12222
May-07,12764
Apr-07,12482
Mar-07,12682
Feb-07,10823
Jan-07,12260
Dec-06,11556
Nov-06,11651
Oct-06,11810
Sep-06,12937
Aug-06,13442
Jul-06,12596
Jun-06,12918
May-06,12965
Apr-06,12039
Mar-06,11734
Feb-06,12289
Jan-06,12737
Dec-05,12442
Nov-05,13135
Oct-05,13354
Sep-05,12385
Aug-05,12552
Jul-05,12666
Jun-05,12793
May-05,12626
Apr-05,12147
Mar-05,11921
Feb-05,12493
Jan-05,12074
Dec-04,11804
Nov-04,12417
Oct-04,12360
Sep-04,11715
Aug-04,12598
Jul-04,12490
Jun-04,12491
May-04,12323
Apr-04,11730
Mar-04,12325
Feb-04,11612
Jan-04,11266
Dec-03,11043
Nov-03,10780
Oct-03,11402
Sep-03,11908
Aug-03,11822
Jul-03,11760
Jun-03,11936
May-03,11822
Apr-03,11546
Mar-03,10993
Feb-03,9854
Jan-03,9892
Dec-02,9828
Nov-02,11242
Oct-02,10931
Sep-02,10059
Aug-02,10752
Jul-02,10785
Jun-02,10873
May-02,10859
Apr-02,10876
Mar-02,10345
Feb-02,9729
Jan-02,10228
Dec-01,9885
Nov-01,10669
Oct-01,10432
Sep-01,10993
Aug-01,10573
Jul-01,10881
Jun-01,10756
May-01,11461
Apr-01,11711
Mar-01,11194
Feb-01,10639
Jan-01,11601
Dec-00,10958
Nov-00,10201
Oct-00,9998
Sep-00,10841
Aug-00,11099
Jul-00,10688
Jun-00,11107
May-00,10559
Apr-00,10427
Mar-00,9893
Feb-00,10133
Jan-00,9134
Dec-99,8835
Nov-99,9083
Oct-99,9651
Sep-99,9768
Aug-99,10240
Jul-99,10779
Jun-99,10253
May-99,10596
Apr-99,10422
Mar-99,9894
Feb-99,9894
Jan-99,9529
Dec-98,9365
Nov-98,10078
Oct-98,10011
Sep-98,9636
Aug-98,10252
Jul-98,10651
Jun-98,9939
May-98,10051
Apr-98,10057
Mar-98,9087
Feb-98,8988
Jan-98,8994
Dec-97,8130
Nov-97,9014
Oct-97,9726
Sep-97,9540
Aug-97,9390
Jul-97,8996
Jun-97,9782
May-97,9941
Apr-97,9177
Mar-97,8900
Feb-97,8544
Jan-97,8725
Dec-96,8404
Nov-96,8220
Oct-96,8792
Sep-96,8038
